Temp,Time,Species,Recovery_cond,Measurement_Day,Plant_rep,final_fvfm,initial_fvfm,fvfm_prop
30,15,snow gum,Dark,2,1,0.794,0.862,0.921
30,15,snow gum,Dark,2,2,0.79,0.837,0.944
30,15,snow gum,Dark,2,3,0.807,0.851,0.948
30,15,snow gum,Dark,2,4,0.781,0.831,0.940
30,15,snow gum,Dark,2,5,0.805,0.835,0.964
30,15,snow gum,Dark,2,6,0.809,0.842,0.961
30,15,snow gum,Light,2,1,0.79,0.859,0.920
30,15,snow gum,Light,2,2,0.767,0.851,0.901
30,15,snow gum,Light,2,3,0.798,0.856,0.932
30,15,snow gum,Light,2,4,0.775,0.85,0.912
30,15,snow gum,Light,2,5,0.743,0.842,0.882
30,15,snow gum,Light,2,6,0.785,0.859,0.914
30,30,snow gum,Dark,2,1,0.798,0.843,0.947
30,30,snow gum,Dark,2,2,0.799,0.825,0.968
30,30,snow gum,Dark,2,3,0.796,0.833,0.956
30,30,snow gum,Dark,2,4,0.752,0.819,0.918
30,30,snow gum,Dark,2,5,0.759,0.839,0.905
30,30,snow gum,Dark,2,6,0.797,0.825,0.966
30,30,snow gum,Light,2,1,0.794,0.814,0.975
30,30,snow gum,Light,2,2,0.771,0.819,0.941
30,30,snow gum,Light,2,3,0.769,0.818,0.940
30,30,snow gum,Light,2,4,0.816,0.826,0.988
30,30,snow gum,Light,2,5,0.746,0.829,0.900
30,30,snow gum,Light,2,6,0.81,0.83,0.976
30,60,snow gum,Dark,1,1,0.785,0.826,0.950
30,60,snow gum,Dark,1,2,0.771,0.807,0.955
30,60,snow gum,Dark,1,3,0.821,0.835,0.983
30,60,snow gum,Dark,1,4,0.724,0.831,0.871
30,60,snow gum,Dark,1,5,0.806,0.823,0.979
30,60,snow gum,Dark,1,6,0.801,0.835,0.959
30,60,snow gum,Light,1,1,0.791,0.836,0.946
30,60,snow gum,Light,1,2,0.764,0.83,0.920
30,60,snow gum,Light,1,3,0.816,0.835,0.977
30,60,snow gum,Light,1,4,0.752,0.827,0.909
30,60,snow gum,Light,1,5,0.826,0.829,0.996
30,60,snow gum,Light,1,6,0.737,0.832,0.886
30,120,snow gum,Dark,2,1,0.759,0.837,0.907
30,120,snow gum,Dark,2,2,0.686,0.817,0.840
30,120,snow gum,Dark,2,3,0.69,0.818,0.844
30,120,snow gum,Dark,2,4,0.765,0.836,0.915
30,120,snow gum,Dark,2,5,0.672,0.817,0.823
30,120,snow gum,Dark,2,6,0.711,0.834,0.853
30,120,snow gum,Light,2,1,0.672,0.824,0.816
30,120,snow gum,Light,2,2,0.678,0.82,0.827
30,120,snow gum,Light,2,3,0.751,0.824,0.911
30,120,snow gum,Light,2,4,0.773,0.844,0.916
30,120,snow gum,Light,2,5,0.703,0.827,0.850
30,120,snow gum,Light,2,6,0.752,0.831,0.905
35,15,snow gum,Dark,2,1,0.75,0.83,0.904
35,15,snow gum,Dark,2,2,0.811,0.84,0.965
35,15,snow gum,Dark,2,3,0.809,0.83,0.975
35,15,snow gum,Dark,2,4,0.784,0.839,0.934
35,15,snow gum,Dark,2,5,0.743,0.833,0.892
35,15,snow gum,Dark,2,6,0.778,0.823,0.945
35,15,snow gum,Light,2,1,0.785,0.83,0.946
35,15,snow gum,Light,2,2,0.765,0.834,0.917
35,15,snow gum,Light,2,3,0.753,0.829,0.908
35,15,snow gum,Light,2,4,0.777,0.834,0.932
35,15,snow gum,Light,2,5,0.812,0.837,0.970
35,15,snow gum,Light,2,6,0.686,0.822,0.835
35,30,snow gum,Dark,1,1,0.765,0.803,0.953
35,30,snow gum,Dark,1,2,0.802,0.824,0.973
35,30,snow gum,Dark,1,3,0.733,0.817,0.897
35,30,snow gum,Dark,1,4,0.768,0.819,0.938
35,30,snow gum,Dark,1,5,0.795,0.821,0.968
35,30,snow gum,Dark,1,6,0.78,0.812,0.961
35,30,snow gum,Dark,2,1,0.764,0.837,0.913
35,30,snow gum,Dark,2,2,0.815,0.832,0.980
35,30,snow gum,Dark,2,3,0.754,0.843,0.894
35,30,snow gum,Dark,2,4,0.749,0.852,0.879
35,30,snow gum,Dark,2,5,0.774,0.799,0.969
35,30,snow gum,Dark,2,6,0.775,0.835,0.928
35,30,snow gum,Light,1,1,0.763,0.827,0.923
35,30,snow gum,Light,1,2,0.715,0.819,0.873
35,30,snow gum,Light,1,3,0.76,0.824,0.922
35,30,snow gum,Light,1,4,0.748,0.814,0.919
35,30,snow gum,Light,1,5,0.771,0.818,0.943
35,30,snow gum,Light,1,6,0.741,0.829,0.894
35,30,snow gum,Light,2,1,0.801,0.839,0.955
35,30,snow gum,Light,2,2,0.764,0.842,0.907
35,30,snow gum,Light,2,3,0.805,0.835,0.964
35,30,snow gum,Light,2,4,0.792,0.836,0.947
35,30,snow gum,Light,2,5,0.793,0.836,0.949
35,30,snow gum,Light,2,6,0.776,0.833,0.932
35,60,snow gum,Dark,1,1,0.799,0.816,0.979
35,60,snow gum,Dark,1,2,0.769,0.8,0.961
35,60,snow gum,Dark,1,3,0.78,0.803,0.971
35,60,snow gum,Dark,1,4,0.775,0.8,0.969
35,60,snow gum,Dark,1,5,0.769,0.791,0.972
35,60,snow gum,Dark,1,6,0.774,0.803,0.964
35,60,snow gum,Light,1,1,0.675,0.808,0.835
35,60,snow gum,Light,1,2,0.739,0.798,0.926
35,60,snow gum,Light,1,3,0.773,0.8,0.966
35,60,snow gum,Light,1,4,0.703,0.806,0.872
35,60,snow gum,Light,1,5,0.749,0.793,0.945
35,60,snow gum,Light,1,6,0.74,0.806,0.918
35,120,snow gum,Dark,1,1,0.598,0.831,0.720
35,120,snow gum,Dark,1,2,0.767,0.84,0.913
35,120,snow gum,Dark,1,3,0.73,0.835,0.874
35,120,snow gum,Dark,1,4,0.624,0.8,0.780
35,120,snow gum,Dark,1,5,0.689,0.833,0.827
35,120,snow gum,Dark,1,6,0.771,0.834,0.924
35,120,snow gum,Light,1,1,0.752,0.83,0.906
35,120,snow gum,Light,1,2,0.73,0.832,0.877
35,120,snow gum,Light,1,3,0.758,0.822,0.922
35,120,snow gum,Light,1,4,0.747,0.831,0.899
35,120,snow gum,Light,1,5,0.744,0.828,0.899
35,120,snow gum,Light,1,6,0.627,0.838,0.748
40,5,snow gum,Dark,2,1,0.795,0.83,0.958
40,5,snow gum,Dark,2,2,0.795,0.823,0.966
40,5,snow gum,Dark,2,3,0.772,0.829,0.931
40,5,snow gum,Dark,2,4,0.731,0.829,0.882
40,5,snow gum,Dark,2,5,0.791,0.835,0.947
40,5,snow gum,Dark,2,6,0.8,0.827,0.967
40,5,snow gum,Light,2,1,0.77,0.831,0.927
40,5,snow gum,Light,2,2,0.722,0.838,0.862
40,5,snow gum,Light,2,3,0.786,0.832,0.945
40,5,snow gum,Light,2,4,0.791,0.842,0.939
40,5,snow gum,Light,2,5,0.777,0.822,0.945
40,5,snow gum,Light,2,6,0.771,0.831,0.928
40,15,snow gum,Dark,1,1,0.769,0.829,0.928
40,15,snow gum,Dark,1,2,0.764,0.827,0.924
40,15,snow gum,Dark,1,3,0.735,0.83,0.886
40,15,snow gum,Dark,1,4,0.72,0.831,0.866
40,15,snow gum,Dark,1,5,0.786,0.832,0.945
40,15,snow gum,Dark,1,6,0.782,0.826,0.947
40,15,snow gum,Dark,2,1,0.787,0.811,0.970
40,15,snow gum,Dark,2,2,0.754,0.808,0.933
40,15,snow gum,Dark,2,3,0.806,0.804,1.000
40,15,snow gum,Dark,2,4,0.799,0.817,0.978
40,15,snow gum,Dark,2,5,0.786,0.809,0.972
40,15,snow gum,Dark,2,6,0.778,0.793,0.981
40,15,snow gum,Light,1,1,0.768,0.823,0.933
