Temp,Time,row,col,initial_fvfm,final_fvfm,Unique_ID,G_Room,Day
34,15,4,5,0.784895482,0.714071027,P-3-22,A12,1
34,15,4,4,0.762479567,0.599585492,P-1-24,A12,1
34,15,4,2,0.723883896,0.570321152,P-10-04,A15,1
34,15,3,9,0.756144494,0.62536302,P-3-34,A15,1
34,15,3,3,0.793911186,0.62138475,P-5-22,A12,1
34,15,2,2,0.729542609,0.357142857,P-9-06,A15,1
39,5,2,2,0.675253883,0.273641219,P-9-06,A15,1
39,5,3,3,0.777206913,0.703858464,P-5-22,A12,1
39,5,3,9,0.702918083,0.637359931,P-3-34,A15,1
39,5,4,2,0.726996088,0.646165401,P-10-04,A15,1
39,5,4,4,0.738136675,0.539930665,P-1-24,A12,1
39,5,4,5,0.769065441,0.624224886,P-3-22,A12,1
39,30,2,2,0.738807442,0.247723133,P-9-06,A15,1
39,30,3,9,0.791289921,0.689519783,P-3-34,A15,1
39,30,3,3,0.802670165,0.674743025,P-5-22,A12,1
39,30,4,5,0.788151788,0.514071963,P-3-22,A12,1
39,30,4,4,0.780812791,0.321285141,P-1-24,A12,1
39,30,4,2,0.779011786,0.591387025,P-10-04,A15,1
42,15,2,2,0.714383222,0.254892824,P-9-06,A15,1
42,15,3,9,0.753535519,0.576103176,P-3-34,A15,1
42,15,3,3,0.72653658,0.269340974,P-5-22,A12,1
42,15,4,5,0.784267617,0.30242464,P-3-22,A12,1
42,15,4,4,0.777284446,0.243123772,P-1-24,A12,1
42,15,4,2,0.71158185,0.264325323,P-10-04,A15,1
28,15,2,2,0.690271432,0.346529133,P-9-06,A15,1
28,15,3,3,0.765197878,0.601749147,P-5-22,A12,1
28,15,3,9,0.772520003,0.719608618,P-3-34,A15,1
28,15,4,2,0.754451864,0.723924994,P-10-04,A15,1
28,15,4,4,0.662900415,0.444648318,P-1-24,A12,1
28,15,4,5,0.743775667,0.644033443,P-3-22,A12,1
34,5,2,2,0.716089586,0.332007073,P-9-06,A15,1
34,5,3,9,0.749815108,0.645616134,P-3-34,A15,1
34,5,3,3,0.794945024,0.657561817,P-5-22,A12,1
34,5,4,5,0.772821958,0.615341972,P-3-22,A12,1
34,5,4,4,0.797037459,0.690030164,P-1-24,A12,1
34,5,4,2,0.709415782,0.511666404,P-10-04,A15,1
45,30,4,5,0.784603024,0,P-3-22,A12,1
45,30,4,4,0.786478252,0,P-1-24,A12,1
45,30,4,2,0.767527409,0.00952381,P-10-04,A15,1
45,30,3,9,0.77020719,0.00617284,P-3-34,A15,1
45,30,3,3,0.77850771,0,P-5-22,A12,1
45,30,2,2,0.738158748,0.021384929,P-9-06,A15,1
42,5,2,2,0.728472702,0.36980198,P-9-06,A15,1
42,5,3,9,0.740665481,0.643273206,P-3-34,A15,1
42,5,3,3,0.789916556,0.500427716,P-5-22,A12,1
42,5,4,5,0.735448561,0.462477558,P-3-22,A12,1
42,5,4,4,0.700949555,0.334384195,P-1-24,A12,1
42,5,4,2,0.750837032,0.481216112,P-10-04,A15,1
48,15,4,2,0.767955426,0,P-10-04,A15,1
48,15,4,4,0.748538724,0,P-1-24,A12,1
48,15,4,5,0.743014033,0,P-3-22,A12,1
48,15,3,3,0.79616359,0,P-5-22,A12,1
48,15,3,9,0.762343492,0.020698577,P-3-34,A15,1
48,15,2,2,0.742253258,0,P-9-06,A15,1
45,60,4,2,0.687656083,0.039206196,P-10-04,A15,1
45,60,4,4,0.712764249,0.021991599,P-1-24,A12,1
45,60,4,5,0.774216833,0.035023041,P-3-22,A12,1
45,60,3,3,0.774920747,0.009836066,P-5-22,A12,1
45,60,3,9,0.782051282,0.116983791,P-3-34,A15,1
45,60,2,2,0.70811651,0.060498221,P-9-06,A15,1
39,60,4,5,0.775412231,0.588039486,P-3-22,A12,1
39,60,4,4,0.726585427,0.204878049,P-1-24,A12,1
39,60,4,2,0.70520193,0.331994376,P-10-04,A15,1
39,60,3,9,0.789490395,0.559928444,P-3-34,A15,1
39,60,3,3,0.754858202,0.146912704,P-5-22,A12,1
39,60,2,2,0.713163636,0.069640063,P-9-06,A15,1
42,120,2,2,0.747470429,0,P-9-06,A15,1
42,120,3,9,0.803720334,0.108108108,P-3-34,A15,1
42,120,3,3,0.77547882,0,P-5-22,A12,1
42,120,4,5,0.773890143,0,P-3-22,A12,1
42,120,4,4,0.763813914,0,P-1-24,A12,1
42,120,4,2,0.779941502,0,P-10-04,A15,1
34,60,4,5,0.800712964,0.627767149,P-3-22,A12,1
34,60,4,4,0.806235012,0.483296214,P-1-24,A12,1
34,60,4,2,0.803480627,0.634617437,P-10-04,A15,1
34,60,3,9,0.788282729,0.438613385,P-3-34,A15,1
34,60,3,3,0.819922562,0.680548397,P-5-22,A12,1
34,60,2,2,0.778815762,0.383768561,P-9-06,A15,1
48,30,4,2,0.759751965,0,P-10-04,A15,1
48,30,4,4,0.771117763,0,P-1-24,A12,1
48,30,4,5,0.774554776,0,P-3-22,A12,1
48,30,3,3,0.794619918,0,P-5-22,A12,1
48,30,3,9,0.754279856,0.020387701,P-3-34,A15,1
48,30,2,2,0.71953498,0,P-9-06,A15,1
45,5,2,2,0.708479789,0.349155782,P-9-06,A15,1
45,5,3,9,0.773609654,0.557667526,P-3-34,A15,1
45,5,3,3,0.781094527,0.372956909,P-5-22,A12,1
45,5,4,5,0.726049918,0.27388535,P-3-22,A12,1
45,5,4,4,0.741589345,0.281914894,P-1-24,A12,1
45,5,4,2,0.747606614,0.274381001,P-10-04,A15,1
48,120,4,2,0.769563919,0,P-10-04,A15,1
48,120,4,4,0.789672809,0,P-1-24,A12,1
48,120,4,5,0.754061079,0,P-3-22,A12,1
48,120,3,3,0.778345996,0,P-5-22,A12,1
48,120,3,9,0.762471815,0,P-3-34,A15,1
48,120,2,2,0.740009371,0,P-9-06,A15,1
28,30,2,2,0.659833995,0.295385652,P-9-06,A15,1
28,30,3,9,0.755304653,0.682656827,P-3-34,A15,1
28,30,3,3,0.787727133,0.702358543,P-5-22,A12,1
28,30,4,5,0.776336763,0.67680928,P-3-22,A12,1
28,30,4,4,0.734966459,0.52993445,P-1-24,A12,1
28,30,4,2,0.713609873,0.596276296,P-10-04,A15,1
45,15,2,2,0.708934323,0.088616715,P-9-06,A15,1
45,15,3,9,0.739957717,0.189484643,P-3-34,A15,1
45,15,3,3,0.743900156,0.091920658,P-5-22,A12,1
45,15,4,5,0.780338542,0.119881306,P-3-22,A12,1
45,15,4,4,0.766436662,0.099214145,P-1-24,A12,1
45,15,4,2,0.708512851,0.087372014,P-10-04,A15,1
42,60,4,5,0.783361422,0.081967213,P-3-22,A12,1
42,60,4,4,0.760830325,0.000584112,P-1-24,A12,1
42,60,4,2,0.74935479,0.031102733,P-10-04,A15,1
42,60,3,9,0.772162802,0.157558552,P-3-34,A15,1
42,60,3,3,0.754897755,0.105761642,P-5-22,A12,1
42,60,2,2,0.725140003,0.012631579,P-9-06,A15,1
42,30,2,2,0.685147287,0.115384615,P-9-06,A15,1
42,30,3,3,0.770222661,0.288743883,P-5-22,A12,1
42,30,3,9,0.726398008,0.195506692,P-3-34,A15,1
42,30,4,2,0.764534499,0.17920354,P-10-04,A15,1
42,30,4,4,0.749195063,0.110898662,P-1-24,A12,1
42,30,4,5,0.779024904,0.139355742,P-3-22,A12,1
48,5,2,2,0.724636659,0.165173572,P-9-06,A15,1
48,5,3,3,0.733526887,0.158107562,P-5-22,A12,1
48,5,3,9,0.788502424,0.177113283,P-3-34,A15,1
48,5,4,2,0.743910467,0.139008621,P-10-04,A15,1
48,5,4,4,0.777628111,0.176923077,P-1-24,A12,1
48,5,4,5,0.772656554,0.16545663,P-3-22,A12,1
39,15,4,2,0.737380359,0.604394568,P-10-04,A15,1
39,15,4,4,0.751692129,0.626409496,P-1-24,A12,1
39,15,4,5,0.783783784,0.711752638,P-3-22,A12,1
39,15,3,3,0.772314724,0.549834672,P-5-22,A12,1
39,15,3,9,0.74710049,0.52285619,P-3-34,A15,1
39,15,2,2,0.734321629,0.470766129,P-9-06,A15,1
34,30,4,5,0.739895698,0.486618344,P-3-22,A12,1
34,30,4,4,0.753087218,0.581978423,P-1-24,A12,1
34,30,4,2,0.719873077,0.565456674,P-10-04,A15,1
34,30,3,9,0.769465244,0.666565257,P-3-34,A15,1
34,30,3,3,0.797411367,0.755764747,P-5-22,A12,1
34,30,2,2,0.717502417,0.463183307,P-9-06,A15,1
45,120,4,5,0.779179607,0,P-3-22,A12,1
45,120,4,4,0.777019499,0,P-1-24,A12,1
45,120,4,2,0.761832612,0,P-10-04,A15,1
45,120,3,9,0.770683039,0,P-3-34,A15,1
45,120,3,3,0.790103623,0,P-5-22,A12,1
45,120,2,2,0.721433618,0,P-9-06,A15,1
48,60,2,2,0.714130574,0.00790798,P-9-06,A15,1
48,60,3,3,0.751110332,0,P-5-22,A12,1
48,60,3,9,0.784876361,0.014986124,P-3-34,A15,1
48,60,4,2,0.747543232,0,P-10-04,A15,1
48,60,4,4,0.777601166,0,P-1-24,A12,1
48,60,4,5,0.783162296,0,P-3-22,A12,1
28,120,2,2,0.744926887,0.425299323,P-9-06,A15,1
28,120,3,9,0.801634214,0.580850098,P-3-34,A15,1
28,120,3,3,0.77210763,0.51008595,P-5-22,A12,1
28,120,4,5,0.688644915,0.333502281,P-3-22,A12,1
28,120,4,4,0.7505002,0.44808535,P-1-24,A12,1
28,120,4,2,0.774403471,0.662541806,P-10-04,A15,1
34,120,2,2,0.734500365,0.296307984,P-9-06,A15,1
34,120,3,9,0.784839204,0.62709631,P-3-34,A15,1
34,120,3,3,0.794035695,0.656521739,P-5-22,A12,1
34,120,4,5,0.737862138,0.523618213,P-3-22,A12,1
34,120,4,4,0.735181584,0.32776139,P-1-24,A12,1
34,120,4,2,0.76512647,0.600297177,P-10-04,A15,1
39,120,2,2,0.7391063,0.061749571,P-9-06,A15,1
39,120,3,9,0.788810087,0.278790229,P-3-34,A15,1
39,120,3,3,0.801125009,0,P-5-22,A12,1
39,120,4,5,0.763881795,0.324272771,P-3-22,A12,1
39,120,4,4,0.733555841,0,P-1-24,A12,1
39,120,4,2,0.778335867,0.394394801,P-10-04,A15,1
28,60,4,5,0.774867989,0.679078153,P-3-22,A12,1
28,60,4,4,0.779031142,0.620396327,P-1-24,A12,1
28,60,4,2,0.763522638,0.67868533,P-10-04,A15,1
28,60,3,9,0.774683367,0.578268387,P-3-34,A15,1
28,60,3,3,0.767502321,0.544829562,P-5-22,A12,1
28,60,2,2,0.736544654,0.301580699,P-9-06,A15,1
34,15,2,1,0.759018372,0.63546157,P-3-24,A12,2
34,15,2,2,0.751496813,0.662847197,P-1-22,A12,2
34,15,3,5,0.776941176,0.687764961,P-1-40,A15,2
34,15,5,3,0.709622088,0.566310554,P-12-02,A12,2
34,15,5,4,0.748267898,0.634798909,P-11-08,A15,2
39,5,2,2,0.76870702,0.662801603,P-1-22,A12,2
39,5,2,1,0.758449362,0.557937535,P-3-24,A12,2
39,5,3,5,0.777097761,0.528069319,P-1-40,A15,2
39,5,5,4,0.801042391,0.682229461,P-11-08,A15,2
39,5,5,3,0.781665552,0.644337528,P-12-02,A12,2
39,30,5,4,0.798512419,0.749307223,P-11-08,A15,2
