spec,age,temp,dur,rep,surv,total,survival_rate
MD,2,40,0,1,10,10,1
MD,2,40,0,2,10,10,1
MD,2,40,0,3,10,10,1
MD,2,40,2,1,10,10,1
MD,2,40,2,2,10,10,1
MD,2,40,2,3,10,10,1
MD,2,40,4,1,9,10,0.9
MD,2,40,4,2,8,10,0.8
MD,2,40,4,3,8,14,0.57
MD,2,40,6,1,5,8,0.63
MD,2,40,6,2,6,10,0.6
MD,2,40,6,3,2,11,0.18
MD,2,40,8,1,4,10,0.4
MD,2,40,8,2,3,9,0.33
MD,2,40,8,3,0,14,0
MD,2,40,10,1,0,9,0
MD,2,40,10,2,0,8,0
MD,2,40,10,3,0,10,0
MD,2,39,0,1,10,10,1
MD,2,39,0,2,10,10,1
MD,2,39,0,3,10,10,1
MD,2,39,5,1,10,10,1
MD,2,39,5,2,10,10,1
MD,2,39,5,3,10,10,1
MD,2,39,7,1,5,8,0.63
MD,2,39,7,2,9,10,0.9
MD,2,39,7,3,7,9,0.78
MD,2,39,9,1,4,8,0.5
MD,2,39,9,2,5,12,0.42
MD,2,39,9,3,5,11,0.45
MD,2,39,10,1,2,10,0.2
MD,2,39,10,2,2,11,0.18
MD,2,39,10,3,0,11,0
MD,2,39,13,1,0,16,0
MD,2,39,13,2,0,11,0
MD,2,39,13,3,0,10,0
MD,2,39,15,1,0,10,0
MD,2,39,15,2,0,13,0
MD,2,38,0,1,10,10,1
MD,2,38,0,2,10,10,1
MD,2,38,0,3,10,10,1
MD,2,38,10,1,10,10,1
MD,2,38,10,2,8,10,0.8
MD,2,38,10,3,10,10,1
MD,2,38,12,1,8,10,0.8
MD,2,38,12,2,8,10,0.8
MD,2,38,12,3,6,10,0.6
MD,2,38,15,1,7,10,0.7
MD,2,38,15,2,7,10,0.7
MD,2,38,15,3,2,10,0.2
MD,2,38,18,1,5,10,0.5
MD,2,38,18,2,4,8,0.5
MD,2,38,18,3,1,9,0.11
MD,2,38,20,1,4,8,0.5
MD,2,38,20,2,5,9,0.56
MD,2,38,20,3,0,11,0
MD,2,38,25,1,2,10,0.2
MD,2,38,25,2,2,11,0.18
MD,2,38,25,3,0,11,0
MD,2,38,30,1,0,8,0
MD,2,38,30,2,0,9,0
MD,2,38,30,3,0,12,0
MD,2,37,0,1,10,10,1
MD,2,37,0,2,10,10,1
MD,2,37,0,3,10,10,1
MD,2,37,15,1,10,10,1
MD,2,37,15,2,13,13,1
MD,2,37,15,3,10,10,1
MD,2,37,20,1,9,10,0.9
MD,2,37,20,2,9,10,0.9
MD,2,37,20,3,7,10,0.7
MD,2,37,25,1,5,10,0.5
MD,2,37,25,2,6,10,0.6
MD,2,37,25,3,3,10,0.3
MD,2,37,30,1,3,10,0.3
MD,2,37,30,2,4,9,0.44
MD,2,37,30,3,0,9,0
MD,2,37,35,1,2,10,0.2
MD,2,37,35,2,1,8,0.13
MD,2,37,35,3,0,14,0
MD,2,37,40,1,2,11,0.18
MD,2,37,40,2,1,9,0.11
MD,2,37,40,3,0,10,0
MD,2,37,45,1,0,9,0
MD,2,37,45,2,0,10,0
MD,2,37,45,3,0,20,0
MD,2,36,0,1,10,10,1
MD,2,36,0,2,10,10,1
MD,2,36,0,3,10,10,1
MD,2,36,25,1,9,10,0.9
MD,2,36,25,2,10,10,1
MD,2,36,35,1,10,10,1
MD,2,36,35,2,10,10,1
MD,2,36,35,3,9,10,0.9
MD,2,36,40,1,4,10,0.4
MD,2,36,40,2,5,10,0.5
MD,2,36,40,3,5,10,0.5
MD,2,36,45,1,5,10,0.5
MD,2,36,45,2,4,8,0.5
MD,2,36,45,3,4,10,0.4
MD,2,36,55,1,3,9,0.33
MD,2,36,55,2,4,10,0.4
MD,2,36,55,3,1,10,0.1
MD,2,36,65,1,1,10,0.1
MD,2,36,65,2,1,10,0.1
MD,2,36,65,3,0,13,0
MD,2,36,70,1,0,15,0
MD,2,36,70,2,0,11,0
MD,2,36,70,3,1,10,0.1
MD,2,36,75,1,0,10,0
MD,2,36,75,2,0,10,0
MD,2,36,75,3,0,10,0
MD,2,35,0,1,10,10,1
MD,2,35,0,2,10,10,1
MD,2,35,0,3,10,10,1
MD,2,35,30,1,10,10,1
MD,2,35,30,2,10,10,1
MD,2,35,30,3,7,8,0.88
MD,2,35,40,1,8,10,0.8
MD,2,35,40,2,9,10,0.9
MD,2,35,40,3,7,8,0.88
MD,2,35,50,1,7,10,0.7
MD,2,35,50,2,5,7,0.71
MD,2,35,50,3,6,10,0.6
MD,2,35,60,1,2,5,0.4
MD,2,35,60,2,6,12,0.5
MD,2,35,60,3,5,9,0.56
MD,2,35,60,4,3,10,0.3
MD,2,35,80,1,1,9,0.11
MD,2,35,80,2,2,8,0.25
MD,2,35,80,3,1,10,0.1
MD,2,35,100,1,0,10,0
MD,2,35,100,2,2,12,0.17
MD,2,35,100,3,0,10,0
MD,2,35,110,1,0,10,0
MD,2,35,110,2,0,10,0
MD,2,35,110,3,0,10,0
MD,2,35,120,1,0,5,0
MD,2,35,120,2,0,10,0
MD,2,35,120,3,0,10,0
MD,2,34,0,1,10,10,1
MD,2,34,0,2,10,10,1
MD,2,34,0,3,10,10,1
MD,2,34,60,1,8,9,0.89
MD,2,34,60,2,8,8,1
MD,2,34,60,3,9,10,0.9
MD,2,34,90,1,8,9,0.89
MD,2,34,90,2,7,10,0.7
MD,2,34,90,3,6,10,0.6
MD,2,34,120,1,6,10,0.6
MD,2,34,120,2,6,10,0.6
MD,2,34,120,3,3,10,0.3
MD,2,34,135,1,2,10,0.2
MD,2,34,135,2,0,10,0
MD,2,34,135,3,0,10,0
MD,2,34,150,1,1,8,0.13
MD,2,34,150,2,2,10,0.2
MD,2,34,150,3,0,10,0
MD,2,34,165,1,0,9,0
MD,2,34,165,2,0,10,0
MD,2,34,165,3,0,10,0
MD,2,34,180,1,0,10,0
MD,2,34,180,2,0,5,0
MD,6,40,0,1,10,10,1
MD,6,40,0,2,10,10,1
MD,6,40,0,3,10,10,1
MD,6,40,2,1,4,4,1
MD,6,40,2,2,9,10,0.9
MD,6,40,4,1,9,9,1
MD,6,40,4,2,10,10,1
MD,6,40,4,3,10,10,1
MD,6,40,5,1,8,10,0.8
MD,6,40,5,2,6,10,0.6
MD,6,40,5,3,5,10,0.5
MD,6,40,6,1,2,10,0.2
MD,6,40,6,2,6,9,0.67
MD,6,40,6,3,5,10,0.5
MD,6,40,6,4,5,10,0.5
MD,6,40,8,1,3,10,0.3
MD,6,40,8,2,0,10,0
MD,6,40,8,3,1,8,0.13
MD,6,40,8,4,1,10,0.1
MD,6,40,10,1,0,10,0
MD,6,40,10,2,1,10,0.1
MD,6,40,10,3,0,10,0
MD,6,40,12,1,0,10,0
MD,6,40,12,2,0,10,0
MD,6,40,12,3,0,10,0
MD,6,39,0,1,10,10,1
MD,6,39,0,2,10,10,1
MD,6,39,0,3,10,10,1
MD,6,39,5,1,10,10,1
MD,6,39,5,2,9,10,0.9
MD,6,39,5,3,9,10,0.9
MD,6,39,5,4,10,10,1
MD,6,39,7,1,6,8,0.75
MD,6,39,7,2,6,9,0.67
MD,6,39,7,3,5,10,0.5
MD,6,39,8,1,8,9,0.89
MD,6,39,8,2,9,9,1
MD,6,39,9,1,5,10,0.5
MD,6,39,9,2,11,11,1
MD,6,39,9,3,3,10,0.3
MD,6,39,9,4,3,8,0.38
MD,6,39,10,1,2,6,0.33
