Date_egg_collection,Date_experiment,Life_stage,Time_start_experiment,Order_sample_transfer,Sample,Temperature_assay,Duration_exposure_hours,N_total,Mortality_day_1_afternoon,Mortality_day_2_morning,Mortality_day_2_afternoon,Hatching_day_2_morning,Hatching_day_2_afternoon,Mortality_day_3_morning,Mortality_day_3_afternoon,Hatching_day_3_morning,Hatching_day_3_afternoon,Mortality_day_4_morning,Mortality_day_4_afternoon,Hatching_day_4_morning,Hatching_day_4_afternoon,Mortality_day_5_morning,Mortality_day_5_afternoon,Hatching_day_5_morning,Hatching_day_5_afternoon,Mortality_day_6_morning,Mortality_day_6_afternoon,Hatching_day_6_morning,Hatching_day_6_afternoon,Mortality_day_7_morning,Mortality_day_7_afternoon,Hatching_day_7_morning,Hatching_day_7_afternoon,Mortality_day_8_morning,Mortality_day_8_afternoon,Hatching_day_8_morning,Hatching_day_8_afternoon,N_malformed,N_unhatched,Exclude,Notes
13/10/2025,14/10/2025,old_embryos,10:08:00,CEDBA,A1,42.2,0.083333333,24,0,0,0,0,12,0,NA,12,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no,
13/10/2025,14/10/2025,old_embryos,10:08:00,CEDBA,A2,40.6,0.5,24,0,0,0,0,1,0,0,19,3,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no,
13/10/2025,14/10/2025,old_embryos,10:08:00,CEDBA,A3,39.5,0.5,25,0,0,0,0,5,0,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,no,
13/10/2025,14/10/2025,old_embryos,10:08:00,CEDBA,A4,38.9,0.5,25,0,1,2,0,1,0,0,14,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no,
13/10/2025,14/10/2025,old_embryos,10:08:00,CEDBA,A5,38.4,0.5,24,0,0,0,0,4,0,0,17,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no,
13/10/2025,14/10/2025,old_embryos,10:08:00,CEDBA,A6,38.5,0.5,25,0,0,0,1,17,0,0,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no,
13/10/2025,14/10/2025,old_embryos,10:08:00,CEDBA,A7,38.7,0.5,26,0,1,1,1,3,0,0,14,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no,
13/10/2025,14/10/2025,old_embryos,10:08:00,CEDBA,A8,39.2,0.5,25,0,2,0,0,10,0,0,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no,
13/10/2025,14/10/2025,old_embryos,10:08:00,CEDBA,A9,40.3,0.5,25,0,0,0,3,9,0,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no,
13/10/2025,14/10/2025,old_embryos,10:08:00,CEDBA,A10,41.1,0.25,26,0,0,0,0,2,1,0,20,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no,
13/10/2025,14/10/2025,old_embryos,10:08:00,CEDBA,B1,42.2,0.166666667,25,0,0,0,0,15,0,0,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no,
13/10/2025,14/10/2025,old_embryos,10:08:00,CEDBA,B2,40.6,1,24,0,0,0,2,9,0,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,no,
13/10/2025,14/10/2025,old_embryos,10:08:00,CEDBA,B3,39.5,1,25,0,0,0,1,5,0,0,15,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no,
13/10/2025,14/10/2025,old_embryos,10:08:00,CEDBA,B4,38.9,1,25,0,0,0,1,3,0,0,15,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no,
13/10/2025,14/10/2025,old_embryos,10:08:00,CEDBA,B5,38.4,1,25,0,0,0,0,4,0,0,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no,
13/10/2025,14/10/2025,old_embryos,10:08:00,CEDBA,B6,38.5,1,25,0,0,0,0,15,0,0,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no,
13/10/2025,14/10/2025,old_embryos,10:08:00,CEDBA,B7,38.7,1,23,0,0,0,4,12,0,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no,
13/10/2025,14/10/2025,old_embryos,10:08:00,CEDBA,B8,39.2,1,25,0,0,0,0,6,0,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no,
13/10/2025,14/10/2025,old_embryos,10:08:00,CEDBA,B9,40.3,1,25,0,0,0,1,2,0,0,19,2,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no,
13/10/2025,14/10/2025,old_embryos,10:08:00,CEDBA,B10,41.1,0.5,24,0,0,0,0,14,0,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,no,
13/10/2025,14/10/2025,old_embryos,10:08:00,CEDBA,C1,42.2,1,25,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no,
13/10/2025,14/10/2025,old_embryos,10:08:00,CEDBA,C2,40.6,6,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,no,
13/10/2025,14/10/2025,old_embryos,10:08:00,CEDBA,C3,39.5,6,25,0,1,0,0,8,0,0,10,1,1,0,3,0,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,17,0,no,
13/10/2025,14/10/2025,old_embryos,10:08:00,CEDBA,C4,38.9,6,25,0,1,0,0,4,0,0,14,5,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,no,
