Cohort,Ploidy,Treatment,time,T,temperature,O,oxygen,total,survival,Ploidy_induction,Notes
ZB100,2,hypoxia,11.15,26,26,25,29.7,5,5,100,NA
ZB100,2,normoxia,50,26,26.3,100,96,5,5,100,NA
ZB100,2,hypoxia,11.15,38,37.6,25,24.1,4,4,100,NA
ZB100,2,normoxia,50,38,37.7,100,105.4,4,4,100,NA
ZB100,2,hypoxia,11.15,26,25.7,25,29,3,3,100,NA
ZB100,2,normoxia,50,26,26.3,100,96,4,4,100,NA
ZB100,2,hypoxia,11.15,38,38,25,26.7,4,4,100,NA
ZB100,2,normoxia,50,38,38.2,100,100,4,4,100,NA
ZB100,2,hypoxia,11.15,26,25.7,25,29,4,4,100,NA
ZB100,2,normoxia,50,26,26.4,100,97.8,4,4,100,NA
ZB100,2,hypoxia,11.15,38,37.8,25,26.7,4,4,100,NA
ZB100,2,normoxia,50,38,38.3,100,100,4,4,100,NA
ZB100,2,hypoxia,25,26,25.7,25,28.3,5,4,100,NA
ZB100,2,normoxia,89,26,26.4,100,90.4,5,5,100,NA
ZB100,2,hypoxia,25,38,37.7,25,29,5,5,100,NA
ZB100,2,normoxia,89,38,37.8,100,90.8,5,5,100,NA
ZB100,2,hypoxia,25,26,25.7,25,15,6,5,100,NA
ZB100,2,normoxia,89,26,26.4,100,93,6,6,100,NA
ZB100,2,hypoxia,25,38,37.7,25,28,6,6,100,NA
ZB100,2,normoxia,89,38,37.8,100,99.1,6,6,100,NA
ZB100,2,hypoxia,25,26,25.7,25,27,5,5,100,NA
ZB100,2,normoxia,89,26,26.3,100,94.3,5,5,100,NA
ZB100,2,hypoxia,25,38,37.7,25,28.8,5,3,100,NA
ZB100,2,normoxia,89,38,37.6,100,99.9,5,0,100,NA
ZB101,2,hypoxia,25,26,25.7,25,28.3,2,2,100,NA
ZB101,2,normoxia,89,26,26.4,100,90.4,2,2,100,NA
ZB101,2,hypoxia,25,38,37.7,25,29,2,2,100,NA
ZB101,2,normoxia,89,38,37.8,100,90.8,2,2,100,NA
ZB101,2,hypoxia,25,26,25.7,25,15,3,3,100,NA
ZB101,2,normoxia,89,26,26.4,100,93,3,3,100,NA
ZB101,2,hypoxia,25,38,37.7,25,28,3,2,100,NA
ZB101,2,normoxia,89,38,37.8,100,99.1,3,3,100,NA
ZB101,2,hypoxia,25,26,25.7,25,27,3,3,100,NA
ZB101,2,normoxia,89,26,26.3,100,94.3,3,3,100,NA
ZB101,2,hypoxia,25,38,37.7,25,28.8,3,2,100,NA
ZB101,2,normoxia,89,38,37.6,100,99.9,4,0,100,NA
ZB102,2,hypoxia,25,26,25.7,25,28.3,1,1,100,NA
ZB102,2,normoxia,89,26,26.4,100,90.4,1,1,100,NA
ZB102,2,hypoxia,25,38,37.7,25,29,1,1,100,NA
ZB102,2,normoxia,89,38,37.8,100,90.8,1,1,100,NA
ZB102,2,hypoxia,25,26,25.7,25,15,1,1,100,NA
ZB102,2,normoxia,89,26,26.4,100,93,1,1,100,NA
ZB102,2,hypoxia,25,38,37.7,25,28,1,1,100,NA
ZB102,2,normoxia,89,38,37.8,100,99.1,1,1,100,NA
ZB102,2,hypoxia,25,26,25.7,25,27,2,2,100,NA
ZB102,2,normoxia,89,26,26.3,100,94.3,2,2,100,NA
ZB102,2,hypoxia,25,38,37.7,25,28.8,2,1,100,NA
ZB102,2,normoxia,89,38,37.6,100,99.9,2,0,100,NA
ZB103,2,hypoxia,25,26,25.7,25,28.3,5,3,100,NA
