Date,Trial_ID,Observer,Water_temperature_holding_tank,Tank,Assay_temperature,Sample,Starting_time,Time_to_death,Exclude,Notes
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,6,30.5,A1,10:10:55 AM,10:36:17 AM,yes,EXCLUDE - not all individuals reached their Ctmax before the end of the measurement period (12h)
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,6,30.5,A1,10:10:55 AM,10:37:03 AM,yes,EXCLUDE - not all individuals reached their Ctmax before the end of the measurement period (12h)
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,6,30.5,A1,10:10:55 AM,11:59:45 AM,yes,EXCLUDE - not all individuals reached their Ctmax before the end of the measurement period (12h)
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,6,30.5,A1,10:10:55 AM,4:53:20 PM,yes,EXCLUDE - not all individuals reached their Ctmax before the end of the measurement period (12h)
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,6,30.5,A1,10:10:55 AM,NA,yes,EXCLUDE - not all individuals reached their Ctmax before the end of the measurement period (12h). Reached CTmax betweem 22:47:50 and 7:24:00
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,6,30.5,B1,10:10:55 AM,10:25:00 AM,yes,EXCLUDE - not all individuals reached their Ctmax before the end of the measurement period (12h)
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,6,30.5,B1,10:10:55 AM,10:29:33 AM,yes,EXCLUDE - not all individuals reached their Ctmax before the end of the measurement period (12h)
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,6,30.5,B1,10:10:55 AM,10:29:33 AM,yes,EXCLUDE - not all individuals reached their Ctmax before the end of the measurement period (12h)
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,6,30.5,B1,10:10:55 AM,1:29:30 PM,yes,EXCLUDE - not all individuals reached their Ctmax before the end of the measurement period (12h)
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,6,30.5,B1,10:10:55 AM,2:58:55 PM,yes,EXCLUDE - not all individuals reached their Ctmax before the end of the measurement period (12h)
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,6,30.5,C1,10:10:55 AM,10:45:11 AM,yes,EXCLUDE - not all individuals reached their Ctmax before the end of the measurement period (12h)
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,6,30.5,C1,10:10:55 AM,10:51:50 AM,yes,EXCLUDE - not all individuals reached their Ctmax before the end of the measurement period (12h)
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,6,30.5,C1,10:10:55 AM,11:25:25 AM,yes,EXCLUDE - not all individuals reached their Ctmax before the end of the measurement period (12h)
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,6,30.5,C1,10:10:55 AM,12:40:10 PM,yes,EXCLUDE - not all individuals reached their Ctmax before the end of the measurement period (12h)
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,6,30.5,C1,10:10:55 AM,NA,yes,EXCLUDE - not all individuals reached their Ctmax before the end of the measurement period (12h). Survived beyond 7:24:00 the next day.
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,5,30.5,A2,10:11:28 AM,11:09:27 AM,yes,EXCLUDE - not all individuals reached their Ctmax before the end of the measurement period (12h)
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,5,30.5,A2,10:11:28 AM,11:31:22 AM,yes,EXCLUDE - not all individuals reached their Ctmax before the end of the measurement period (12h)
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,5,30.5,A2,10:11:28 AM,11:56:10 AM,yes,EXCLUDE - not all individuals reached their Ctmax before the end of the measurement period (12h)
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,5,30.5,A2,10:11:28 AM,NA,yes,EXCLUDE - not all individuals reached their Ctmax before the end of the measurement period (12h). One was missed during the trial.
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,5,30.5,A2,10:11:28 AM,NA,yes,EXCLUDE - not all individuals reached their Ctmax before the end of the measurement period (12h). Survived beyond 7:24:00 the next day.
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,5,30.5,B2,10:11:28 AM,11:01:18 AM,yes,EXCLUDE - not all individuals reached their Ctmax before the end of the measurement period (12h)
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,5,30.5,B2,10:11:28 AM,11:29:27 AM,yes,EXCLUDE - not all individuals reached their Ctmax before the end of the measurement period (12h)
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,5,30.5,B2,10:11:28 AM,1:38:15 PM,yes,EXCLUDE - not all individuals reached their Ctmax before the end of the measurement period (12h)
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,5,30.5,B2,10:11:28 AM,2:43:45 PM,yes,EXCLUDE - not all individuals reached their Ctmax before the end of the measurement period (12h)
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,5,30.5,B2,10:11:28 AM,6:13:13 PM,yes,EXCLUDE - not all individuals reached their Ctmax before the end of the measurement period (12h)
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,5,30.5,C2,10:11:28 AM,10:28:25 AM,yes,EXCLUDE - not all individuals reached their Ctmax before the end of the measurement period (12h)
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,5,30.5,C2,10:11:28 AM,11:20:55 AM,yes,EXCLUDE - not all individuals reached their Ctmax before the end of the measurement period (12h)
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,5,30.5,C2,10:11:28 AM,11:59:25 AM,yes,EXCLUDE - not all individuals reached their Ctmax before the end of the measurement period (12h)
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,5,30.5,C2,10:11:28 AM,NA,yes,EXCLUDE - not all individuals reached their Ctmax before the end of the measurement period (12h). Reached CTmax betweem 22:47:50 and 7:24:00
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,5,30.5,C2,10:11:28 AM,NA,yes,EXCLUDE - not all individuals reached their Ctmax before the end of the measurement period (12h). Reached CTmax betweem 22:47:50 and 7:24:00
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,4,30.6,A,10:11:50 AM,11:00:08 AM,yes,"EXCLUDE - target temperature was 31.0C, but it was measured as 30.6 during trial. Not sure if the temperature was always too consistent since the thermostat needed calibration."
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,4,30.6,A,10:11:50 AM,11:52:24 AM,yes,"EXCLUDE - target temperature was 31.0C, but it was measured as 30.6 during trial. Not sure if the temperature was always too consistent since the thermostat needed calibration."
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,4,30.6,A,10:11:50 AM,12:20:11 PM,yes,"EXCLUDE - target temperature was 31.0C, but it was measured as 30.6 during trial. Not sure if the temperature was always too consistent since the thermostat needed calibration."
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,4,30.6,A,10:11:50 AM,5:35:30 PM,yes,"EXCLUDE - target temperature was 31.0C, but it was measured as 30.6 during trial. Not sure if the temperature was always too consistent since the thermostat needed calibration."
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,4,30.6,A,10:11:50 AM,5:37:25 PM,yes,"EXCLUDE - target temperature was 31.0C, but it was measured as 30.6 during trial. Not sure if the temperature was always too consistent since the thermostat needed calibration."
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,4,30.6,B,10:11:50 AM,10:57:05 AM,yes,"EXCLUDE - target temperature was 31.0C, but it was measured as 30.6 during trial. Not sure if the temperature was always too consistent since the thermostat needed calibration."
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,4,30.6,B,10:11:50 AM,11:13:07 AM,yes,"EXCLUDE - target temperature was 31.0C, but it was measured as 30.6 during trial. Not sure if the temperature was always too consistent since the thermostat needed calibration."
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,4,30.6,B,10:11:50 AM,11:13:09 AM,yes,"EXCLUDE - target temperature was 31.0C, but it was measured as 30.6 during trial. Not sure if the temperature was always too consistent since the thermostat needed calibration."
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,4,30.6,B,10:11:50 AM,11:33:37 AM,yes,"EXCLUDE - target temperature was 31.0C, but it was measured as 30.6 during trial. Not sure if the temperature was always too consistent since the thermostat needed calibration."
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,4,30.6,B,10:11:50 AM,12:19:07 PM,yes,"EXCLUDE - target temperature was 31.0C, but it was measured as 30.6 during trial. Not sure if the temperature was always too consistent since the thermostat needed calibration."
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,4,30.6,C,10:11:50 AM,10:57:37 AM,yes,"EXCLUDE - target temperature was 31.0C, but it was measured as 30.6 during trial. Not sure if the temperature was always too consistent since the thermostat needed calibration."
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,4,30.6,C,10:11:50 AM,10:58:42 AM,yes,"EXCLUDE - target temperature was 31.0C, but it was measured as 30.6 during trial. Not sure if the temperature was always too consistent since the thermostat needed calibration."
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,4,30.6,C,10:11:50 AM,10:59:18 AM,yes,"EXCLUDE - target temperature was 31.0C, but it was measured as 30.6 during trial. Not sure if the temperature was always too consistent since the thermostat needed calibration."
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,4,30.6,C,10:11:50 AM,4:30:18 PM,yes,"EXCLUDE - target temperature was 31.0C, but it was measured as 30.6 during trial. Not sure if the temperature was always too consistent since the thermostat needed calibration."
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,4,30.6,C,10:11:50 AM,10:43:20 PM,yes,"EXCLUDE - target temperature was 31.0C, but it was measured as 30.6 during trial. Not sure if the temperature was always too consistent since the thermostat needed calibration."
25/06/2025,TDT_SL_001,PP/LP/LK/MT,16.7,3,31.5,A,10:22:40 AM,10:36:04 AM,no,NA
